file,year,county,url
GIS,2012,Madison,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/50 Madison.zip
GIS,2012,Manatee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/51 Manatee.zip
GIS,2012,Marion,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/52 Marion.zip
GIS,2012,Martin,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/53 Martin.zip
GIS,2012,Monroe,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/54 Monroe.zip
GIS,2012,Nassau,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/55 Nassau.zip
GIS,2012,Okaloosa,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/56 Okaloosa.zip
GIS,2012,Okeechobee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/57 Okeechobee.zip
GIS,2012,Orange,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/58 Orange.zip
GIS,2012,Osceola,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/59 Osceola.zip
GIS,2012,Palm Beach,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/60 Palm Beach.zip
GIS,2012,Pasco,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/61 Pasco.zip
GIS,2012,Pinellas,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/62 Pinellas.zip
GIS,2012,Polk,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/63 Polk.zip
GIS,2012,Putnam,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/64 Putnam.zip
GIS,2012,St. Johns,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/65 St Johns.zip
GIS,2012,St. Lucie,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/66 St Lucie.zip
GIS,2012,Santa Rosa,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/67 Santa Rosa.zip
GIS,2012,Sarasota,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/68 Sarasota.zip
GIS,2012,Seminole,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/69 Seminole.zip
GIS,2012,Sumter,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/70 Sumter.zip
GIS,2012,Suwannee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/71 Suwannee.zip
GIS,2012,Taylor,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/72 Taylor.zip
GIS,2012,Union,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/73 Union.zip
GIS,2012,Volusia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/74 Volusia.zip
GIS,2012,Wakulla,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/75 Wakulla.zip
GIS,2012,Walton,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/76 Walton.zip
GIS,2012,Washington,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/77 Washington.zip
